id,movie_name,time,year,nation,director,company,grade,actor1,actor2,actor3,poster_url,link_url,user_rating,genre_id
428,타짜-신의 손,147,20140903,한국,강형철,(주)싸이더스,청소년관람불가,307,643,715,https://ssl.pstatic.net/imgmovie/mdi/mit110/0677/67769_P37_162158.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67769,7.26,4
429,베리 굿 걸,90,20140925,미국,나오미 포너,(주)영화사 빅,15세이상관람가,308,644,645,https://ssl.pstatic.net/imgmovie/mdi/mit110/0955/95557_P07_103531.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=95557,7.17,5
430,해적: 바다로 간 산적,129,20140806,한국,이석훈,(주)하리마오픽쳐스,12세이상관람가,194,73,154,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102817_P23_104252.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102817,8.27,14
431,툼스톤,113,20140918,미국,스콧 프랭크,(주)인벤트스톤,청소년관람불가,54,645,,https://ssl.pstatic.net/imgmovie/mdi/mit110/0948/94829_P27_165355.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94829,7.57,13
432,애나벨,98,20141002,미국,존 R. 레오네티,워너브러더스 코리아(주),15세이상관람가,309,646,935,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183850,10,2
433,인투 더 스톰,89,20140828,미국,스티븐 쿼일,워너브러더스 코리아(주),12세이상관람가,310,647,936,https://ssl.pstatic.net/imgmovie/mdi/mit110/1765/176524_P01_160916.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176524,5.67,13
434,프랭크,95,20140925,영국,레니 에이브러햄슨,(주)영화사 진진,15세이상관람가,311,631,908,https://ssl.pstatic.net/imgmovie/mdi/mit110/1746/174616_P01_173053.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174616,0,16
435,마담 뺑덕,111,20141002,한국,임필성,(주)영화사동물의왕국,청소년관람불가,106,387,937,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118974_P28_094312.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118974,6.66,5
436,국제시장,126,20141217,한국,윤제균,(주)제이케이필름,12세이상관람가,12,648,337,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102875_P42_100733.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102875,9.01,4
437,테이큰 3,111,20150101,미국,올리비에 메가턴,이십세기폭스코리아(주),15세이상관람가,54,649,595,https://ssl.pstatic.net/imgmovie/mdi/mit110/1099/109982_P03_133458.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109982,7.87,13
