movie_code,movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3
20070206,두 번째 사랑,104,20070621,한국,김진아,나우필름(주),청소년관람불가,드라마,멜로/로맨스,,하정우,파미가 베라,데이비드 맥기니스
20070441,사랑,104,20070919,한국,곽경택,(주)진인사필름,15세이상관람가,멜로/로맨스,액션,,주진모,박시연,김민준
20070422,본 얼티메이텀,115,20070912,미국,폴 그린그래스,유니버셜 픽쳐스,12세이상관람가,액션,스릴러,미스터리,맷 데이먼,줄리아 스타일즈,
20070421,권순분여사 납치사건,120,20070912,한국,김상진,(주)어나더썬데이,15세이상관람가,코미디,,,김서현,강성진,유해진
20070380,즐거운 인생,112,20070913,한국,이준익,(주)영화사아침,전체관람가,드라마,,,김상호,김윤석,주진모
20070383,상사부일체,110,20070919,한국,심승보,(주)두손시네마,15세이상관람가,코미디,액션,,손창민,박상면,김성민
20070424,인베이젼,93,20070920,미국,올리버 히르비겔,빌리지 로드쇼 픽쳐스,15세이상관람가,SF,공포(호러),스릴러,니콜 키드먼,다니엘 크레이그,
20070379,두 얼굴의 여친,117,20070913,한국,이석훈,(주)화인웍스,15세이상관람가,멜로/로맨스,코미디,,봉태규,정려원,진태현
20070381,마이 파더,105,20070906,한국,황동혁,시네라인투(주),15세이상관람가,드라마,가족,,김영철,다니엘 헤니,안석환
20070454,원스,86,20070920,아일랜드,존 카니,(주)제이앤씨미디어그룹,전체관람가,드라마,,,글렌 하사드,마르케타 이글로바,
20070358,어머니는 죽지 않는다,93,20070912,한국,하명중,HMJ필름,12세이상관람가,가족,드라마,,조영민,하명중,노민우
20070551,황금 나침반,113,20071218,미국,크리스 웨이츠,뉴라인 시네마,전체관람가,판타지,드라마,액션,다니엘 크레이그,니콜 키드먼,
20070549,내셔널 트레져:비밀의 책,124,20071219,미국,존 터틀타웁,제리 브룩하이머 필름,12세이상관람가,액션,어드벤처,,니콜라스 케이지,존 보이트,다이앤 크루거
20070661,기다리다 미쳐,108,20080101,한국,류승진,블루버스 픽쳐스,15세이상관람가,멜로/로맨스,,,손태영,장근석,데니 안/ 안신원
20070637,색즉시공 시즌2,112,20071212,한국,윤태윤,(주)두사부필름,청소년관람불가,코미디,,,임창정,송지효,최성국
20070586,마고리엄의 장난감 백화점,93,20071224,미국,자크 헬름,㈜스튜디오이쩜영,전체관람가,가족,코미디,판타지,나탈리 포트만,더스틴 호프만,
20071003,P.S. 아이 러브 유,125,20080103,미국,리차드 라그라브네스,(주)쇼박스,15세이상관람가,멜로/로맨스,드라마,,힐러리 스웽크,제라드 버틀러,
20070550,나는 전설이다,97,20071212,미국,프란시스 로렌스,워너 브러더스 픽쳐스,12세이상관람가,SF,드라마,액션,윌 스미스,알리스 브라가,
20070562,앨빈과 슈퍼밴드,91,20071219,미국,팀 힐,이십세기폭스필름코퍼레이션,전체관람가,코미디,가족,애니메이션,저스틴 롱,제시 맥카트니,제이슨 리
20070585,어거스트 러쉬,113,20071129,미국,커스틴 쉐리단,사우스포우 엔터테인먼트,전체관람가,드라마,,,프레디 하이모어,조나단 리스 마이어스,케리 러셀
20070642,아메리칸 갱스터,156,20071227,미국,리들리 스콧,유니버셜 픽쳐스,청소년관람불가,범죄,드라마,,덴젤 워싱턴,러셀 크로우,
20080254,어웨이크,84,20080327,미국,조비 해롤드,(주)프라임엔터테인먼트,15세이상관람가,스릴러,드라마,,헤이든 크리스텐슨,제시카 알바,
20080046,추격자,123,20080214,한국,나홍진,(주)영화사비단길,청소년관람불가,범죄,스릴러,액션,김윤석,하정우,서영희
