movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
독전,123,20180522,한국,이해영,(주)용필름,15세이상관람가,"['범죄', '액션']","['조진웅', '류준열', '김주혁']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1581/158178_P57_114234.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158178,7.53
명탐정 코난: 순흑의 악몽,111,20160803,일본,시즈노 코분,씨제이이앤엠(주),12세이상관람가,"['애니메이션', '미스터리', '어드벤처']",[],https://ssl.pstatic.net/imgmovie/mdi/mit110/1490/149049_P17_150439.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149049,8.98
안시성,135,20180919,한국,김광식,(주)영화사수작,12세이상관람가,"['사극', '액션']","['이태진', '조인성', '신현숙']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1635/163533_P99_105455.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163533,8.00
협상,114,20180919,한국,이종석,(주)제이케이필름,15세이상관람가,['범죄'],"['현빈', '손예진', '김상호']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164106_P16_135532.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164106,7.37
명당,126,20180919,한국,박희곤,(주)주피터필름,12세이상관람가,['사극'],"['조승우', '지성', '김성균']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1629/162981_P72_153440.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162981,7.07
원더풀 고스트,96,20180926,한국,조원희,(주)데이드림엔터테인먼트,12세이상관람가,"['코미디', '드라마', '범죄']","['마동석', '김영광', '이유영']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1521/152156_P76_134247.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152156,6.65
더 넌,96,20180919,미국,코린 하디,워너브러더스 코리아(주),15세이상관람가,['공포(호러)'],"['타이사 파미가', '데미안 비쉬어', '보니 아론스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168049_P02_145901.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168049,6.69
서치,102,20180829,미국,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,['드라마'],"['존 조', '데브라 메싱']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1845/184543_P01_155230.png,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184543,0.00
미쓰백,97,20181011,한국,이지원,영화사 배,15세이상관람가,['드라마'],"['한지민', '김시아', '이희준']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1553/155356_P29_104216.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155356,9.10
파이널 포트레이트,90,20180927,영국,스탠리 투치,(주)팝엔터테인먼트,15세이상관람가,['드라마'],"['제프리 러쉬', '아미 해머', '실비 테스튀']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1561/156195_P18_180740.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156195,7.86
