movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
연애의 목적,121,20050610,한국,한재림,(주)싸이더스,18세관람가,"['드라마', '코미디', '멜로/로맨스']","['강혜정', '박해일', '이대연', '박그리나', '이현정', '박준명', '박혜영', '김기형', '장준영', '이은숙', '박진우', '서영화']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/C9863-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39863,8.15
사하라,127,20050624,미국,브렉 에이즈너,브리스톨베이프로덕션즈,12세관람가,"['액션', '어드벤처']","['페넬로페 크루즈', '매튜 매커너히', '매튜 매커너히']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1596/159669_P01_112034.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159669,9.00
간 큰 가족,102,20050609,한국,조명남,(주)두사부필름,12세관람가,['코미디'],"['감우성', '김수미', '김수로', '김도연', '조용희', '김기철', '김길라', '정현우', '유장식', '최성용', '김영희', '김용완', '성지루', '전국환', '신이', '박충선', '김태곤', '이칸희']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/C9675-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39675,6.86
아미티빌 호러,89,20050701,미국,앤드류 더글라스,디멘션 필름즈,15세관람가,['공포(호러)'],"['멜리사 조지', '라이언 레이놀즈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1032/103237_P01_141350.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103237,8.50
에로스,108,20050630,미국,왕가위,판당고,18세관람가,"['드라마', '멜로/로맨스']","['공리', '장첸', '로버트 다우니 주니어', '알란 아킨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1811/181130_P01_162929.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181130,0.00
너는 내 운명,121,20050923,한국,박진표,(주)영화사봄,18세관람가,['멜로/로맨스'],"['전도연', '황정민', '나문희', '서주희', '윤제문', '김상호', '이민아', '임종윤', '신수현', '정광재', '박명규', '정영헌', '김수연', '이경아', '이규복', '한지원', '이미소', '고수희', '박진우', '김학선', '오정세', '김광규', '김부선', '정유석', '유지연', '류승수', '김정영']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1127/112742_P01_114842.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112742,0.00
가문의 위기(가문의 영광2),115,20050907,한국,정용기,(주)태원엔터테인먼트,15세관람가,['코미디'],"['신현준', '김수미', '김원희', '최은주', '김효진', '박은혜', '임형준', '한재혁', '김인욱', '이화란', '장지영', '김재희', '장서윤', '이미도', '공형진', '정준하', '탁재훈', '정호빈', '최욱', '김해곤', '신이']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0414/D1438-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41438,6.28
강력 3반,111,20050929,한국,손희창,(주)씨네넷,15세관람가,['액션'],"['김민준', '허준호', '남상미', '김광일', '김정태', '김응수', '강경덕', '김태환', '박규선', '유혜진', '윤영민', '정재욱', '박상면', '장항선', '남문철', '조성하']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0413/D1399-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41399,6.48
미스터 주부퀴즈왕,107,20050930,한국,유선동,폴스타엔터테인먼트,12세관람가,['코미디'],"['공형진', '김영애', '한석규', '이주현', '신은경', '조윤성', '천진호', '이화선', '박미정', '전현우', '오승환', '염현희', '김태훈', '황석정', '이주현', '손범수', '조은지']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0408/D0887-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40887,7.96
찰리와 초콜릿 공장,114,20050916,미국,팀 버튼,빌리지 로드쇼 픽쳐스,전체관람가,"['코미디', '가족', '판타지']","['프레디 하이모어', '조니 뎁']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/C9846-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39846,8.76
